Label,Location,Manufacturer,Model,Firmware,Health,Inlet 1 L1 Current (A),Inlet 1 L2 Current (A),Inlet 1 L3 Current (A),Inlet 2 L1 Current (A),Inlet 2 L2 Current (A),Inlet 2 L3 Current (A),Inlet 3 L1 Current (A),Inlet 3 L2 Current (A),Inlet 3 L3 Current (A),Inlet 4 L1 Current (A),Inlet 4 L2 Current (A),Inlet 4 L3 Current (A),Active Power (W),Apparent Power (VA),Inlet Temperature (F),Belongs to
rpc365,BE1005,ServerTech,CW-48V52458A1/RB,Sentry Switched CDU Version 7.0v,Good,7.43,8.95,6.53,,,,,,,,,,5259.0,5349.0,,BE1005
rpc365,BE1005,ServerTech,CX-48V52458A1/BB,Sentry Switched CDU Version 7.0v,Good,4.07,3.69,3.07,,,,,,,,,,2348.0,2532.0,,BE1005
rpc368,BE1008,ServerTech,CX-48V52458A1/BB,Sentry Switched CDU Version 7.0v,Good,0.91,0.0,0.0,,,,,,,,,,189.0,212.0,,BE1008
rpc415,BF2007,ServerTech,CX-48V52458A1/BB,Sentry Switched CDU Version 7.0v,Good,11.55,1.17,11.22,,,,,,,,,,5160.0,5534.0,,BF2007
rpc420,BF2012,ServerTech,CW-48V52458A1/RB,Sentry Switched CDU Version 7.0v,Good,1.95,1.18,1.19,,,,,,,,,,875.0,1007.0,,BF2012
rpc378,be2006,ServerTech,CX-48V52458A1/BB,Sentry Switched CDU Version 7.0v,Good,2.26,2.8,2.71,,,,,,,,,,1571.0,1815.0,,BE2006
rpc369,BE1009,ServerTech,CW-48V52458A1/RB,Sentry Switched CDU Version 7.0v,Good,1.58,2.07,7.0,,,,,,,,,,2319.0,2486.0,,BE1009
rpc-as6-3,as-06r3,ServerTech,CW-24V2C458C1/RB,Sentry Switched CDU Version 7.0v,Good,7.84,,,,,,,,,,,,1538.0,1617.0,,R3
rpc377,BE2005,ServerTech,CW-48V52458A1/RB,Sentry Switched CDU Version 7.0v,Good,0.92,0.0,0.0,,,,,,,,,,186.0,213.0,,BE2005
rpc377,BE2005,ServerTech,CX-48V52458A1/BB,Sentry Switched CDU Version 7.0v,Good,0.93,0.0,0.0,,,,,,,,,,191.0,216.0,,BE2005
rpc373,BE2001,ServerTech,CW-48V52458A1/RB,Sentry Switched CDU Version 7.0v,Good,1.53,3.27,2.76,,,,,,,,,,1573.0,1761.0,,BE2001
rpc-as6-4,as-06r4,ServerTech,CW-24V2C458C1/RB,Sentry Switched CDU Version 7.0v,Good,4.41,,,,,,,,,,,,872.0,908.0,,R4
rpc-ap6-5,AP6-5,ServerTech,CX-24V2C458C1/BB,Sentry Switched CDU Version 7.0v,Good,9.51,,,,,,,,,,,,1894.0,1962.0,,R5
rpc384,be2012,ServerTech,CX-48V52458A1/BB,Sentry Switched CDU Version 7.0v,Good,1.61,3.35,2.83,,,,,,,,,,1598.0,1795.0,,BE2012
rpc387,BE3003,ServerTech,CX-48V52458A1/BB,Sentry Switched CDU Version 7.0v,Good,3.5,0.0,0.0,,,,,,,,,,758.0,816.0,,BE3003
rpc419,BF2011,ServerTech,CW-48V52458A1/RB,Sentry Switched CDU Version 7.0v,Good,1.24,1.08,1.16,,,,,,,,,,676.0,814.0,,BF2011
rpc387,BE3003,ServerTech,CW-48V52458A1/RB,Sentry Switched CDU Version 7.0v,Good,6.24,0.0,0.0,,,,,,,,,,1414.0,1454.0,,BE3003
rpc413,BF2005,ServerTech,CW-48V52458A1/RB,Sentry Switched CDU Version 7.0v,Good,4.14,10.28,2.93,,,,,,,,,,3831.0,4047.0,,BF2005
rpc419,BF2011,ServerTech,CX-48V52458A1/BB,Sentry Switched CDU Version 7.0v,Good,1.25,1.18,1.03,,,,,,,,,,653.0,796.0,,BF2011
