location	region	model	purchase_date	cost	source	path
Barcelona	EMEA	Smart-UPS SRT 5000	1433055600	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Milan - Adobe/Thurmus	EMEA	Smart-UPS SRT 8000	1454313600	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Paris Trocadero	EMEA	Smart-UPS SRT 10000	1446361200	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Amsterdam	EMEA	None	None	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Brussels	EMEA	Smart-UPS SRT 5000	1441090800	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Berlin	EMEA	None	None	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Hamburg 4th	EMEA	MGE Galaxy 3500 30 kVA	1456819200	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Warsaw	EMEA	None	None	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Paris Fotolia	EMEA	Smart-UPS SRT 8000	1433142000	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Tokyo 19A	APAC	Symmetra LX 16000	1422777600	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Tokyo 19B	APAC	Symmetra LX 16000	1422777600	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Tokyo 20IDC	APAC	Symmetra LX 8000	1422777600	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Hong Kong	APAC	Symmetra RM 6000	1438412400	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Seoul	APAC	Smart-UPS RT 6000 RM XL	1414825200	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Singapore IDC	APAC	Smart-UPS RT 5000 X	1149145200	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Singapore MDC	APAC	Smart-UPS RT 6000 XL	1212303600	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Bucharest NOC	EMEA	Symmetra 48K	1433142000	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Bucharest MDC	EMEA	Smart-UPS VT 30 kVA	1218438000	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Bucharest Lab	EMEA	Symmetra LX 16000 RM	1326096000	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Bucharest 6th IDC	EMEA	Smart-UPS RT 8000 XL	1314860400	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Bucharest 7th IDC	EMEA	Smart-UPS RT 8000 XL	1314860400	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Hamburg 1st	EMEA	Smart-UPS VT 40 kVA	1167638400	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Munich	EMEA	Symmetra 20K	1117609200	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Stockholm	EMEA	Smart-UPS RT 8000 XL	1298966400	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Copenhagen	EMEA	Smart-UPS RT 8000 XL	1275375600	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
London Fitzroy	EMEA	Smart-UPS VT 15 kVA	1265011200	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
London Maidenhead	EMEA	Symmetra 48K	1317452400	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Edinburgh	EMEA	Symmetra 20K	1212303600	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Dublin	EMEA	Smart-UPS VT 30 kVA	1212303600	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Basel	EMEA	Symmetra LX 16000	1298966400	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
None	None	None	None	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Arden Hills	Americas	Symmetra LX 16000	1199174400	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Tysons Corner MDC	Americas	Symmetra LX 16000 RM	1279350000	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Tysons Corner Lab	Americas	Smart-UPS RT 3000 XL	None	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
New York Broadway 17th	Americas	Symmetra LX 16000 RM	1274425200	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
New York Broadway 43th	Americas	Smart-UPS RT 8000 XL	1420099200	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
New York Union Square 5th	Americas	Smart-UPS SRT 10000	1425196800	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
New York Union Square 4th	Americas	Smart-UPS SRT 10000	1425196800	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
Mexico City	Americas	Smart-UPS RT 3000 XL	1146466800	None	UPS Data.xlsx	data/ups/UPS Data.xlsx
None	None	CC-E1-256	1230105600	5997	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	CC-E1-256	1230105600	5997	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1161673200	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1230364800	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1230364800	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1241593200	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1212130800	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1212130800	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1186383600	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1212130800	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKSX2-188	1273820400	1499.4	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1170403200	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1156316400	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-101	1288940400	395.4	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1212130800	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1212130800	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1161673200	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1144306800	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1144306800	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1143792000	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1143792000	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1143792000	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1216882800	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1198828800	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1249023600	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1143792000	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1143792000	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1156316400	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1155625200	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1255590000	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1255590000	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1255590000	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1255590000	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1156316400	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1255590000	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKSX2-188	1274857200	1499.4	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-216	1271401200	2397	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-432	1268035200	4197	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-432	1268035200	4197	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1198828800	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-464	1198828800	5097	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKSX2-188	1212044400	1499.4	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-432	1204272000	4197	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-432	1204272000	4197	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX2-432	1204272000	4197	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX432	1155625200	4317	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKSX2-188	1221030000	1499.4	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKSX2-188	1234944000	1499.4	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
None	None	DKX232	1182150000	2757	Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls	data/raritan/Copy of Adobe 1-YR Synch Warranty Quote 2-22-2011.xls
